"","X.2","X.1","X","Student","Gender","IPEDS.Ethnicity","Low.Income","First.Generation","Admit.Type","Evaluated.High.School.GPA","Highlander.Scholarship","Chancellor.s.Scholarship","Regents..Scholarship","Previous.School","College","Major","UCR.Entry.Action","Admitted.Honors.Cohort","Permanent.City","Permanent.State","Capstone.Project.Completion","County","Region"
"687",687,687,687,687,"F","NON-RESIDENT ALIEN","N","N","Freshman",4.25,"N","N","N","Lemoore Union High School","BU","BSAD","First Time Freshman","Third Year","Lemoore","CA","N","Kings","6"
"688",688,688,688,688,"F","ASIAN","N","N","Freshman",3.25,"N","N","N",NA,NA,"NURO","First Time Freshman","Second Year","Fullerton","CA","N","Orange","9"
"689",689,689,689,689,"F","HISPANIC OR LATINO","Y","N","Freshman",3.89,"N","N","N",NA,"HS","PRBS","First Time Freshman","First Year","North Hollywood","CA","N","Other","Other"
"690",690,690,690,690,"M","ASIAN","N","N","Freshman",4.12,"N","Y","N","Bishop Amat Memorial Hs",NA,"PHYS","First Time Freshman","Other","La Puente","CA","Yes","Los Angeles","8"
"691",691,691,691,691,"F","WHITE","Y","N","Freshman",3.84,"N","N","N","Los Osos High School",NA,"BIOL","First Time Freshman","Second Year","San Bernadino","CA","Yes","Other","Other"
"692",692,692,692,692,"F","HISPANIC OR LATINO","Y","Y","Freshman",4.29,"N","Y","N","Elsinore High School","EN","CHEN","First Time Freshman","Other","Wildomar","CA","Yes","Riverside","7"
"693",693,693,693,693,"M","HISPANIC OR LATINO","Y","N","Freshman",NA,"N","N","N",NA,"HS","PSYC","First Time Freshman","Second Year","Rancho Cucamonga","CA","Yes","San Bernardino","7"
"694",694,694,694,694,"F","ASIAN","N","N","Freshman",4,"N","N","N","Bishop Montgomery High School",NA,"CMDB","First Time Freshman","Third Year","Gardena","CA","N","Los Angeles","8"
"695",695,695,695,695,"F","HISPANIC OR LATINO","Y","N","Freshman",3.84,"N","N","N","Temescal Canyon High School","HS","ANTH","First Time Freshman","Third Year","Corona","CA","Yes","Riverside","7"
"696",696,696,696,696,"F","ASIAN","N","Y","Freshman",3.83,"N","N","N","Canyon High School",NA,"BCH","First Time Freshman","Second Year","Santa Clarita","CA","N","Los Angeles","8"
"697",697,697,697,697,"M","HISPANIC OR LATINO","N","N","Freshman",4.3,"N","N","N",NA,"EN","MCEN","First Time Freshman","First Year","Fontana","CA","N","San Bernardino","7"
"698",698,698,698,698,"M","HISPANIC OR LATINO","N","N","Transfer",NA,"N","N","N",NA,"EN","ENCS","First Time Transfer","Incoming Transfer","San Jacinto","CA","N","Riverside","7"
"699",699,699,699,699,"F","HISPANIC OR LATINO","N","Y","Transfer",NA,"N","N","N",NA,"HS","CRWT","First Time Transfer","Incoming Transfer","Covina","CA","N","Los Angeles","8"
