"","X.2","X.1","X","Student","Gender","IPEDS.Ethnicity","Low.Income","First.Generation","Admit.Type","Evaluated.High.School.GPA","Highlander.Scholarship","Chancellor.s.Scholarship","Regents..Scholarship","Previous.School","College","Major","UCR.Entry.Action","Admitted.Honors.Cohort","Permanent.City","Permanent.State","Capstone.Project.Completion","County","Region"
"795",795,795,795,795,"F","HISPANIC OR LATINO","N","N","Freshman",4.21,"N","Y","N","Foster High School","HS","PSYC","First Time Freshman","Other","Diamond Bar","CA","Yes","Los Angeles","8"
"796",796,796,796,796,"M","WHITE","Y","N","Transfer",NA,"N","N","N",NA,NA,"NURO","First Time Transfer","Incoming Transfer","Ridgecrest","CA","N","Kern","6"
"797",797,797,797,797,"F","HISPANIC OR LATINO","Y","Y","Freshman",3.54,"N","N","N","Mountain View High School","HS","SOC","First Time Freshman","Other","South El Monte","CA","Yes","Los Angeles","8"
"798",798,798,798,798,"F","ASIAN","N","N","Freshman",3.84,"N","N","N","University High School","EN","MCEN","First Time Freshman","Second Year","Irvine","CA","N","Orange","9"
"799",799,799,799,799,"M","MULTI-RACIAL","Y","Y","Transfer",NA,"N","N","N",NA,"BU","BSAD","First Time Transfer","Incoming Transfer","Riverside","CA","Yes","Riverside","7"
"800",800,800,800,800,"M","HISPANIC OR LATINO","Y","N","Freshman",3.85,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Hesperia","CA","N","San Bernardino","7"
"801",801,801,801,801,"F","ASIAN","N","N","Freshman",3.85,"N","N","N","Bishop Alemany High School",NA,"BIOL","First Time Freshman","Second Year","North Hills","CA","Yes","Other","Other"
"802",802,802,802,802,"F","ASIAN","N","Y","Freshman",4,"N","N","N",NA,NA,"NURO","First Time Freshman","Third Year","Redondo Beach","CA","N","Los Angeles","8"
"803",803,803,803,803,"F","WHITE","Y","Y","Freshman",3.9,"N","N","N","Twentynine Palms High School","HS","PSYC","First Time Freshman","Second Year","Twentynine Palms","CA","N","San Bernardino","7"
"804",804,804,804,804,"F","ASIAN","Y","N","Transfer",NA,"N","N","N",NA,"HS","PSYC","First Time Transfer","Incoming Transfer","Winchester","CA","N","Other","Other"
"805",805,805,805,805,"F","ASIAN","N","Y","Freshman",3.95,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Cerritos","CA","Yes","Los Angeles","8"
"806",806,806,806,806,"F","HISPANIC OR LATINO","Y","N","Freshman",4,"N","N","N","Martin Luther King High School",NA,"CMDB","First Time Freshman","Third Year","Perris","CA","N","Riverside","7"
"807",807,807,807,807,"F","HISPANIC OR LATINO","N","N","Freshman",3.9,"N","N","N",NA,"HS","PRBS","First Time Freshman","First Year","Norwalk","CA","N","Los Angeles","8"
"808",808,808,808,808,"F","HISPANIC OR LATINO","N","Y","Freshman",4,"N","N","N","University Preparatory",NA,"MCBL","First Time Freshman","Second Year","Victorville","CA","N","San Bernardino","7"
"809",809,809,809,809,"F","HISPANIC OR LATINO","Y","Y","Transfer",NA,"N","N","N",NA,"HS","PSYC","First Time Transfer","Incoming Transfer","Bakersfield","CA","N","Kern","6"
"810",810,810,810,810,NA,"Other","N","N","Freshman",4.11,"N","Y","N","Coronado High School","EN","BEBM","First Time Freshman","Second Year","Coronado","CA","Yes","San Diego","10"
"811",811,811,811,811,"F","HISPANIC OR LATINO","N","Y","Freshman",4,"N","N","N",NA,"HS","PRBS","First Time Freshman","Second Year","Chula Vista","CA","N","San Diego","10"
"812",812,812,812,812,"F","ASIAN","Y","N","Freshman",4,"N","N","N","Saint Joseph High School",NA,"BIOL","First Time Freshman","Third Year","Huntington Beach","CA","Yes","Orange","9"
"813",813,813,813,813,"F","ASIAN","N","Y","Transfer",NA,"N","N","N",NA,"HS","ENGL","First Time Transfer","Incoming Transfer","San Dimas","CA","N","Los Angeles","8"
"814",814,814,814,814,"F","ASIAN","N","N","Freshman",3.86,"N","Y","N","Mission San Jose High School",NA,"NURO","First Time Freshman","Other","Fremont","CA","Yes","Alameda","3"
"815",815,815,815,815,"F","ASIAN","N","N","Freshman",3.9,"N","N","N",NA,NA,"CHEM","First Time Freshman","First Year","Murrieta","CA","N","Riverside","7"
"816",816,816,816,816,"F","HISPANIC OR LATINO","N","N","Transfer",NA,"N","N","N","Crafton Hills College",NA,"STAT","First Time Transfer","Other","Yucaipa","CA","N","San Bernardino","7"
"817",817,817,817,817,"M","BLACK OR AFRICAN AMERICAN","N","Y","Freshman",3.96,"N","N","N",NA,"EN","MCEN","First Time Freshman","First Year","Menifee","CA","Yes","Riverside","7"
"818",818,818,818,818,"F","WHITE","N","N","Freshman",3.31,"N","N","N","Arcadia High School",NA,"BIOL","First Time Freshman","Other","Sierra Madre","CA","Yes","Los Angeles","8"
"819",819,819,819,819,"F","WHITE","N","N","Transfer",NA,"N","N","N",NA,"HS","PSYC","First Time Transfer","Incoming Transfer","San Jacinto","CA","N","Riverside","7"
"820",820,820,820,820,"M","WHITE","N","Y","Transfer",NA,"N","N","N","Palomar College","EN","CEN","First Time Transfer","Other","Valley Center","CA","N","Other","Other"
"821",821,821,821,821,NA,"Other","Y","N","Freshman",4.22,"Y","N","N","A B Miller High School",NA,"STAT","First Time Freshman","Second Year","Canoga Park","CA","N","Other","Other"
"822",822,822,822,822,"F","WHITE","N","N","Transfer",NA,"N","N","N","Csu San Marcos","HS","PSYC","First Time Transfer","Other","Escondido","CA","Yes","San Diego","10"
"823",823,823,823,823,"M","MULTI-RACIAL","N","Y","Freshman",NA,"N","Y","N",NA,"EN","MCEN","First Time Freshman","First Year","Corona","CA","N","Riverside","7"
"824",824,824,824,824,"F","MULTI-RACIAL","N","Y","Freshman",4.18,"N","N","N",NA,"HS","HIST","First Time Freshman","First Year","Beaumont","CA","Yes","Riverside","7"
"825",825,825,825,825,"F","WHITE","N","N","Freshman",4.15,"Y","N","N","Vista Murrieta High School","HS","PSYC","First Time Freshman","Third Year","Murrieta","CA","Yes","Riverside","7"
"826",826,826,826,826,"F","ASIAN","N","N","Transfer",NA,"N","N","N",NA,NA,"BIOL","First Time Transfer","Incoming Transfer","Beaumont","CA","N","Riverside","7"
"827",827,827,827,827,"M","WHITE","N","Y","Transfer",NA,"N","N","N",NA,"Other","PBPY","First Time Transfer","Incoming Transfer","Sun City","CA","Yes","Other","Other"
"828",828,828,828,828,"M","ASIAN","Y","N","Freshman",4.13,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Hemet","CA","N","Riverside","7"
"829",829,829,829,829,"M","WHITE","N","Y","Freshman",3.91,"N","N","N","San Marino High School","EN","ENCS","First Time Freshman","Second Year","Alhambra","CA","Yes","Los Angeles","8"
"830",830,830,830,830,"M","ASIAN","N","N","Freshman",3.73,"N","N","N","Amador Valley High School",NA,"MATH","First Time Freshman","Second Year","Pleasanton","CA","N","Alameda","3"
"831",831,831,831,831,"F","ASIAN","Y","N","Transfer",NA,"N","N","N",NA,"HS","PSYC","First Time Transfer","Incoming Transfer","Lake Elsinore","CA","N","Riverside","7"
"832",832,832,832,832,"F","ASIAN","N","N","Freshman",3.86,"N","N","N","Bishop Montgomery High School","BU","BSAD","First Time Freshman","Third Year","Harbor City","CA","N","Other","Other"
"833",833,833,833,833,"M","ASIAN","Y","N","Freshman",4,"N","Y","N","Chaparral High School","EN","CHEN","First Time Freshman","Other","Winchester","CA","Yes","Other","Other"
"834",834,834,834,834,"M","WHITE","N","Y","Freshman",4.13,"N","N","N",NA,"EN","MCEN","First Time Freshman","First Year","Fresno","CA","Yes","Fresno","6"
"835",835,835,835,835,"M","ASIAN","N","N","Freshman",3.81,"N","N","N","Scripps Ranch High School",NA,"BIOL","First Time Freshman","Third Year","San Diego","CA","Yes","San Diego","10"
"836",836,836,836,836,"F","WHITE","N","N","Freshman",4.25,"Y","N","N","Hillcrest High School",NA,"BIOL","First Time Freshman","Second Year","Corona","CA","Yes","Riverside","7"
"837",837,837,837,837,"M","ASIAN","N","N","Freshman",3.2,"N","N","N","South High School",NA,"BIOL","First Time Freshman","Second Year","Torrance","CA","N","Los Angeles","8"
"838",838,838,838,838,"F","WHITE","N","N","Freshman",3.79,"Y","N","N","Redondo Union High School",NA,"BIOL","First Time Freshman","Other","Torrance","CA","Yes","Los Angeles","8"
"839",839,839,839,839,"F","HISPANIC OR LATINO","N","N","Freshman",3.05,"N","N","N","San Diego Jewish Academy","HS","PSIA","First Time Freshman","Third Year","Rancho Santa Fe","CA","Yes","Other","Other"
"840",840,840,840,840,"M","WHITE","N","Y","Freshman",NA,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Moorpark","CA","N","Ventura","5"
"841",841,841,841,841,"F","ASIAN","N","Y","Freshman",3.81,"Y","N","N",NA,"HS","PRBS","First Time Freshman","First Year","Fremont","CA","N","Alameda","3"
"842",842,842,842,842,"M","ASIAN","N","N","Freshman",3.95,"N","Y","N","Irvine High School","BU","BSAD","First Time Freshman","Other","Irvine","CA","N","Orange","9"
"843",843,843,843,843,"M","WHITE","N","N","Freshman",4.36,"N","N","Y","William S Hart High School","HS","CRWT","First Time Freshman","Other","Valencia","CA","Yes","Other","Other"
"844",844,844,844,844,"F","WHITE","Y","N","Freshman",4.12,"N","N","N","John F Kennedy Middle Colg Hs","HS","CRWT","First Time Freshman","Third Year","Corona","CA","N","Riverside","7"
"845",845,845,845,845,"F","WHITE","N","N","Freshman",4.33,"N","Y","N","Santiago High School","HS","PSYC","First Time Freshman","Other","Riverside","CA","N","Riverside","7"
"846",846,846,846,846,"F","ASIAN","N","N","Freshman",3.62,"N","N","N",NA,"HS","PSYC","First Time Freshman","Second Year","Arcadia","CA","Yes","Los Angeles","8"
"847",847,847,847,847,"M","ASIAN","N","Y","Freshman",4,"Y","N","N",NA,"EN","ENCS","First Time Freshman","First Year","Alameda","CA","N","Alameda","3"
"848",848,848,848,848,"F","ASIAN","N","Y","Freshman",4.04,"N","N","N",NA,"EN","BIEN","First Time Freshman","First Year","Stockton","CA","N","San Joaquin","4"
"849",849,849,849,849,"F","MULTI-RACIAL","N","N","Freshman",NA,"N","N","N","Simi Valley High School","HS","PSYC","First Time Freshman","Other","Simi Valley","CA","Yes","Ventura","5"
"850",850,850,850,850,"M","ASIAN","N","N","Freshman",3.7,"N","N","N",NA,NA,"NURO","First Time Freshman","Third Year","Cupertino","CA","Yes","Santa Clara","3"
"851",851,851,851,851,"M","ASIAN","Y","N","Transfer",NA,"N","N","N",NA,"EN","CEN","First Time Transfer","Incoming Transfer","Twentynine Palms","CA","N","San Bernardino","7"
"852",852,852,852,852,"F","MULTI-RACIAL","N","N","Transfer",NA,"N","N","N",NA,NA,"NURO","First Time Transfer","Incoming Transfer","Moreno Valley","CA","N","Riverside","7"
"853",853,853,853,853,"M","ASIAN","N","N","Freshman",4.07,"N","Y","N","Quartz Hill High School",NA,"BIOL","First Time Freshman","Second Year","Palmdale","CA","Yes","Los Angeles","8"
"854",854,854,854,854,"F","ASIAN","N","N","Freshman",4.04,"N","N","N",NA,"BU","BSAD","First Time Freshman","Third Year","Danville","CA","Yes","Contra Costa","3"
"855",855,855,855,855,"M","WHITE","N","N","Freshman",3.5,"N","N","N","Los Alamos High School",NA,"NURO","First Time Freshman","Third Year","Los Alamos","Out-Of-State","N","Other","Other"
"856",856,856,856,856,"M","MULTI-RACIAL","N","Y","Freshman",4,"N","N","N",NA,NA,"NURO","First Time Freshman","First Year","Alamo","CA","N","Other","Other"
"857",857,857,857,857,"M","HISPANIC OR LATINO","N","Y","Transfer",NA,"N","N","N",NA,NA,"BCH","First Time Transfer","Incoming Transfer","Palmdale","CA","N","Los Angeles","8"
"858",858,858,858,858,"F","WHITE","Y","N","Freshman",4.08,"N","N","N","Del Norte High School",NA,"BIOL","First Time Freshman","Second Year","San Diego","CA","N","San Diego","10"
"859",859,859,859,859,"F","WHITE","N","N","Freshman",3.59,"N","N","N","Rancho Cucamonga High School","HS","POSC","First Time Freshman","Second Year","Rancho Cucamonga","CA","N","San Bernardino","7"
"860",860,860,860,860,"F","MULTI-RACIAL","Y","Y","Transfer",NA,"N","N","N",NA,"Other","ESHD","First Time Transfer","Incoming Transfer","Riverside","CA","N","Riverside","7"
"861",861,861,861,861,"M","ASIAN","Y","N","Freshman",3.9,"N","N","N",NA,"HS","HIST","First Time Freshman","First Year","Cerritos","CA","Yes","Los Angeles","8"
"862",862,862,862,862,"F","ASIAN","N","Y","Freshman",3.87,"N","N","N",NA,"EN","CHEN","First Time Freshman","First Year","Winnetka","CA","Yes","Other","Other"
"863",863,863,863,863,"M","WHITE","Y","N","Transfer",NA,"N","N","N",NA,NA,"BCH","First Time Transfer","Incoming Transfer","Altadena","CA","Yes","Other","Other"
"864",864,864,864,864,"F","HISPANIC OR LATINO","N","N","Transfer",NA,"N","N","N",NA,"HS","BSEC","First Time Transfer","Incoming Transfer","Murrieta","CA","N","Riverside","7"
"865",865,865,865,865,"M","NON-RESIDENT ALIEN","N","N","Freshman",4.04,"Y","N","N","Camford Royal School","EN","CHEN","First Time Freshman","Other","Beijing","Out-Of-State","N","Other","Other"
"866",866,866,866,866,"F","ASIAN","N","Y","Freshman",3.9,"N","N","N",NA,NA,"NURO","First Time Freshman","First Year","Fremont","CA","N","Alameda","3"
"867",867,867,867,867,"F","HISPANIC OR LATINO","N","N","Freshman",NA,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Norco","CA","N","Riverside","7"
"868",868,868,868,868,"F","HISPANIC OR LATINO","N","Y","Freshman",3.24,"N","N","N","John F Kennedy Middle Colg Hs",NA,"CHEM","First Time Freshman","Second Year","Norco","CA","N","Riverside","7"
"869",869,869,869,869,"N","HISPANIC OR LATINO","N","Y","Freshman",NA,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Rialto","CA","Yes","San Bernardino","7"
"870",870,870,870,870,"N","WHITE","N","N","Transfer",NA,"N","N","N",NA,"HS","POSC","First Time Transfer","Incoming Transfer","Menifee","CA","Yes","Riverside","7"
"871",871,871,871,871,"F","HISPANIC OR LATINO","N","Y","Freshman",NA,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Imperial Beach","CA","N","San Diego","10"
"872",872,872,872,872,"N","Other","N","Y","Transfer",NA,"N","N","N",NA,"HS","AHS","First Time Transfer","Incoming Transfer","Riverside","CA","N","Riverside","7"
"873",873,873,873,873,"M","WHITE","N","N","Freshman",3.9,"N","N","N","Simi Valley High School","BU","BSAD","First Time Freshman","Third Year","Simi Valley","CA","Yes","Ventura","5"
"874",874,874,874,874,"F","WHITE","N","N","Freshman",4.29,"N","Y","N","Los Osos High School",NA,"MTSS","First Time Freshman","Other","Upland","CA","Yes","San Bernardino","7"
"875",875,875,875,875,"F","HISPANIC OR LATINO","Y","Y","Transfer",NA,"N","N","N",NA,"HS","CRWT","First Time Transfer","Incoming Transfer","Covina","CA","Yes","Los Angeles","8"
"876",876,876,876,876,"F","WHITE","Y","Y","Transfer",NA,"N","N","N",NA,"HS","PHIL","First Time Transfer","Incoming Transfer","Moreno Valley","CA","Yes","Riverside","7"
"877",877,877,877,877,"F","BLACK OR AFRICAN AMERICAN","Y","N","Transfer",NA,"N","N","N",NA,"HS","BSPR","First Time Transfer","Incoming Transfer","Hemet","CA","N","Riverside","7"
"878",878,878,878,878,"M","HISPANIC OR LATINO","N","Y","Freshman",3.81,"N","N","N","Tehachapi High School",NA,"BCH","First Time Freshman","Second Year","Tehachapi","CA","N","Kern","6"
"879",879,879,879,879,"F","ASIAN","N","Y","Freshman",4,"N","N","N",NA,"EN","CSBA","First Time Freshman","First Year","Temple City","CA","N","Los Angeles","8"
"880",880,880,880,880,"F","ASIAN","N","N","Freshman",3.33,"N","N","N","Aliso Niguel High School","BU","BSAD","First Time Freshman","Other","Irvine","CA","N","Orange","9"
"881",881,881,881,881,"N","HISPANIC OR LATINO","N","N","Freshman",3.85,"N","N","N",NA,"HS","HSUN","First Time Freshman","First Year","Eastvale","CA","N","Riverside","7"
"882",882,882,882,882,"F","HISPANIC OR LATINO","Y","Y","Freshman",4.04,"N","N","N",NA,"EN","BIEN","First Time Freshman","First Year","Moreno Valley","CA","N","Riverside","7"
"883",883,883,883,883,"F","ASIAN","N","N","Freshman",3.64,"N","N","N",NA,"HS","SOC","First Time Freshman","Second Year","San Ramon","CA","N","Contra Costa","3"
"884",884,884,884,884,"M","MULTI-RACIAL","Y","N","Transfer",NA,"N","N","N",NA,"HS","PSYC","First Time Transfer","Incoming Transfer","Lake Elsinore","CA","N","Riverside","7"
"885",885,885,885,885,"F","ASIAN","N","N","Freshman",4.36,"N","N","Y","Martin Luther King High School",NA,"BIOL","First Time Freshman","Second Year","Riverside","CA","Yes","Riverside","7"
"886",886,886,886,886,"F","WHITE","N","N","Freshman",4.16,"N","Y","N","Redlands High School","HS","AHS","First Time Freshman","Second Year","Redlands","CA","N","San Bernardino","7"
"887",887,887,887,887,"F","WHITE","N","Y","Freshman",4.33,"N","N","N",NA,"HS","LLLN","First Time Freshman","First Year","Riverside","CA","N","Riverside","7"
"888",888,888,888,888,"F","ASIAN","N","N","Freshman",3.82,"N","N","N","Terra Linda High School","BU","BSAD","First Time Freshman","Third Year","San Rafael","CA","Yes","Marin","3"
"889",889,889,889,889,"F","WHITE","N","Y","Freshman",4.23,"N","N","Y","John W North High School",NA,"MATH","First Time Freshman","Other","Moreno Valley","CA","Yes","Riverside","7"
"890",890,890,890,890,"M","HISPANIC OR LATINO","N","Y","Freshman",4.3,"N","Y","N","Paloma Valley High School",NA,"STAT","First Time Freshman","Second Year","Menifee","CA","Yes","Riverside","7"
"891",891,891,891,891,"M","ASIAN","N","N","Freshman",3.7,"N","N","N",NA,NA,"BCH","First Time Freshman","Third Year","Torrance","CA","Yes","Los Angeles","8"
"892",892,892,892,892,"F","ASIAN","Y","Y","Freshman",4.36,"Y","N","N","Beaumont High School",NA,"BIOL","First Time Freshman","Second Year","Beaumont","CA","Yes","Riverside","7"
"893",893,893,893,893,"F","ASIAN","N","N","Freshman",3.91,"N","N","N","Heritage High School","HS","PSYC","First Time Freshman","Second Year","Brentwood","CA","Yes","Contra Costa","3"
"894",894,894,894,894,"F","WHITE","Y","Y","Freshman",3.9,"N","N","N","Glendora High School",NA,"BIOL","First Time Freshman","Second Year","Glendora","CA","Yes","Los Angeles","8"
"895",895,895,895,895,"F","ASIAN","N","N","Freshman",4.32,"Y","N","N",NA,NA,"BIOL","First Time Freshman","Second Year","Riverside","CA","N","Riverside","7"
"896",896,896,896,896,"M","BLACK OR AFRICAN AMERICAN","Y","Y","Transfer",NA,"N","N","N",NA,"EN","BIEN","First Time Transfer","Incoming Transfer","Los Angeles","CA","N","Los Angeles","8"
"897",897,897,897,897,"F","HISPANIC OR LATINO","N","N","Freshman",3.55,"N","N","N",NA,"HS","LBST","First Time Freshman","Second Year","San Diego","CA","N","San Diego","10"
"898",898,898,898,898,"F","HISPANIC OR LATINO","Y","Y","Freshman",4.12,"N","N","N","California Military Institute","HS","HIST","First Time Freshman","Third Year","Perris","CA","N","Riverside","7"
"899",899,899,899,899,"F","ASIAN","N","N","Freshman",4,"N","Y","N","Walnut High School",NA,"BIOL","First Time Freshman","Other","Walnut","CA","Yes","Los Angeles","8"
"900",900,900,900,900,"F","HISPANIC OR LATINO","Y","N","Freshman",4.03,"N","Y","N","Colony High School","HS","PSIA","First Time Freshman","Other","Ontario","CA","Yes","San Bernardino","7"
"901",901,901,901,901,"M","NON-RESIDENT ALIEN","N","N","Transfer",NA,"N","N","N",NA,"HS","PRBS","First Time Transfer","Incoming Transfer",NA,"Out-Of-State","Yes","Other","Other"
"902",902,902,902,902,"F","HISPANIC OR LATINO","N","Y","Freshman",3.34,"N","N","N","Chino High School",NA,"CMDB","First Time Freshman","Second Year","Chino","CA","N","San Bernardino","7"
"903",903,903,903,903,"F","BLACK OR AFRICAN AMERICAN","N","N","Freshman",4,"Y","N","N","Jefferson Township High School","BU","BSAD","First Time Freshman","Other","Chino Hills","CA","N","San Bernardino","7"
"904",904,904,904,904,"M","WHITE","N","N","Transfer",NA,"N","N","N",NA,NA,"BCH","First Time Transfer","Incoming Transfer","Yucaipa","CA","N","San Bernardino","7"
"905",905,905,905,905,"F","MULTI-RACIAL","Y","Y","Transfer",NA,"N","N","N",NA,NA,"PLBL","First Time Transfer","Incoming Transfer","Upland","CA","Yes","San Bernardino","7"
"906",906,906,906,906,"F","WHITE","Y","Y","Freshman",3.66,"Y","N","N","Yucaipa Senior High School",NA,"NURO","First Time Freshman","Other","Yucaipa","CA","Yes","San Bernardino","7"
"907",907,907,907,907,"F","ASIAN","Y","Y","Transfer",NA,"N","N","N",NA,"HS","PSIA","First Time Transfer","Incoming Transfer","Porter Ranch","CA","N","Other","Other"
"908",908,908,908,908,"F","HISPANIC OR LATINO","Y","N","Transfer",NA,"N","N","N","San Bernardino Valley College",NA,"BCH","First Time Transfer","Other","Rialto","CA","N","San Bernardino","7"
"909",909,909,909,909,"M","ASIAN","N","N","Freshman",3.17,"N","N","N","Mission San Jose High School","EN","ENCS","First Time Freshman","Second Year","Fremont","CA","Yes","Alameda","3"
"910",910,910,910,910,"M","WHITE","N","N","Freshman",NA,"N","Y","N",NA,NA,"PHYS","First Time Freshman","First Year","Ontario","CA","N","San Bernardino","7"
"911",911,911,911,911,"M","WHITE","N","Y","Freshman",4.27,"N","N","Y","Colony High School","EN","ENEN","First Time Freshman","Other","Ontario","CA","Yes","San Bernardino","7"
"912",912,912,912,912,"F","WHITE","N","N","Freshman",3.71,"Y","N","N","Cupertino High School","EN","ENCS","First Time Freshman","Second Year","San Jose","CA","Yes","Santa Clara","3"
"913",913,913,913,913,"M","MULTI-RACIAL","N","N","Transfer",NA,"N","N","N",NA,"HS","BSPR","First Time Transfer","Incoming Transfer","Orange","CA","N","Orange","9"
"914",914,914,914,914,"F","ASIAN","N","N","Freshman",3.95,"N","N","N","Otay Ranch High School",NA,"BCH","First Time Freshman","Second Year","Chula Vista","CA","N","San Diego","10"
"915",915,915,915,915,"M","ASIAN","N","Y","Freshman",3.86,"N","N","N",NA,NA,"CHEM","First Time Freshman","First Year","Fullerton","CA","Yes","Orange","9"
"916",916,916,916,916,"F","WHITE","Y","Y","Transfer",NA,"N","N","N","Mount San Jacinto College","HS","TFDP","First Time Transfer","Other","Hemet","CA","Yes","Riverside","7"
"917",917,917,917,917,"F","ASIAN","N","N","Freshman",3.5,"N","N","N",NA,"HS","PRBS","First Time Freshman","Second Year","San Jose","CA","Yes","Santa Clara","3"
"918",918,918,918,918,"F","ASIAN","Y","Y","Freshman",3.77,"N","Y","N","San Gabriel High School","HS","PBPL","First Time Freshman","Other","Rosemead","CA","N","Los Angeles","8"
"919",919,919,919,919,"F","WHITE","N","Y","Freshman",4.16,"N","Y","N","Hemet High School",NA,"MATH","First Time Freshman","Other","Hemet","CA","Yes","Riverside","7"
"920",920,920,920,920,"F","HISPANIC OR LATINO","N","Y","Freshman",4.04,"N","N","N",NA,NA,"ENSC","First Time Freshman","First Year","Victorville","CA","N","San Bernardino","7"
"921",921,921,921,921,"F","HISPANIC OR LATINO","N","Y","Freshman",4.38,"N","Y","N","La Sierra High School",NA,"BIOL","First Time Freshman","Third Year","Riverside","CA","N","Riverside","7"
"922",922,922,922,922,"M","HISPANIC OR LATINO","Y","N","Transfer",NA,"N","N","N",NA,"EN","ENEN","First Time Transfer","Incoming Transfer","Corona","CA","N","Riverside","7"
"923",923,923,923,923,"F","WHITE","N","Y","Freshman",4.04,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Redlands","CA","N","San Bernardino","7"
"924",924,924,924,924,"F","ASIAN","N","N","Freshman",4.04,"N","N","N","Hillcrest High School",NA,"BIOL","First Time Freshman","Second Year","Riverside","CA","N","Riverside","7"
"925",925,925,925,925,"F","ASIAN","N","N","Freshman",4.09,"Y","N","N","Rancho Cucamonga High School",NA,"BCH","First Time Freshman","Other","Rancho Cucamonga","CA","Yes","San Bernardino","7"
"926",926,926,926,926,"M","ASIAN","N","N","Freshman",3.95,"N","Y","N","Redlands East Valley Hs",NA,"BCH","First Time Freshman","Third Year","Redlands","CA","Yes","San Bernardino","7"
"927",927,927,927,927,"F","ASIAN","Y","Y","Freshman",4.19,"Y","N","N","La Sierra High School",NA,"NURO","First Time Freshman","Third Year","Riverside","CA","Yes","Riverside","7"
"928",928,928,928,928,"M","HISPANIC OR LATINO","Y","Y","Other",3.35,"N","N","N","Alliance Stern Math/Sci School","HS","PSIA","First Time Freshman","Second Year","Los Angeles","CA","Yes","Los Angeles","8"
"929",929,929,929,929,"F","ASIAN","N","Y","Freshman",3.86,"N","N","N",NA,NA,"BCH","First Time Freshman","First Year","San Francisco","CA","N","San Francisco","3"
"930",930,930,930,930,"M","ASIAN","Y","N","Freshman",3.69,"N","Y","N","Troy High School",NA,"BIOL","First Time Freshman","Third Year","Fullerton","CA","Yes","Orange","9"
"931",931,931,931,931,"F","ASIAN","N","N","Freshman",3.63,"N","N","N",NA,NA,"BCH","First Time Freshman","Second Year","Diamond Bar","CA","N","Los Angeles","8"
"932",932,932,932,932,"M","NON-RESIDENT ALIEN","N","Y","Transfer",NA,"N","N","N",NA,"BU","BSAD","First Time Transfer","Incoming Transfer","Sharjah, Al Nahda","Out-Of-State","N","Other","Other"
"933",933,933,933,933,"M","MULTI-RACIAL","N","N","Freshman",3.54,"N","N","N","William Howard Taft Hs","HS","POSC","First Time Freshman","Third Year","Woodland Hills","CA","Yes","Other","Other"
"934",934,934,934,934,"M","BLACK OR AFRICAN AMERICAN","Y","Y","Transfer",NA,"N","N","N",NA,"EN","ELEN","First Time Transfer","Incoming Transfer","Los Angeles","CA","N","Los Angeles","8"
"935",935,935,935,935,"M","ASIAN","N","Y","Freshman",4.03,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Lancaster","CA","Yes","Los Angeles","8"
"936",936,936,936,936,"M","ASIAN","N","N","Freshman",3.9,"N","Y","N","Piedmont Hills High School",NA,"NURO","First Time Freshman","Other","San Jose","CA","Yes","Santa Clara","3"
"937",937,937,937,937,"F","HISPANIC OR LATINO","Y","Y","Freshman",4.19,"N","N","N","Pomona High School","HS","SOC","First Time Freshman","Second Year","Pomona","CA","N","Los Angeles","8"
"938",938,938,938,938,"F","ASIAN","N","N","Freshman",3,"N","N","N","Northwood High School",NA,"NURO","First Time Freshman","Second Year","Foothill Ranch","CA","N","Other","Other"
"939",939,939,939,939,"F","ASIAN","N","N","Freshman",3.62,"N","N","N","West High School","HS","BSEC","First Time Freshman","Third Year","Torrance","CA","Yes","Los Angeles","8"
"940",940,940,940,940,"M","HISPANIC OR LATINO","Y","N","Freshman",3.86,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","South Gate","CA","N","Los Angeles","8"
"941",941,941,941,941,"F","ASIAN","N","Y","Freshman",3.92,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Mission Viejo","CA","N","Orange","9"
"942",942,942,942,942,"F","HISPANIC OR LATINO","Y","Y","Freshman",3.47,"N","N","N","Weston Ranch High School","HS","POSC","First Time Freshman","Other","French Camp","CA","Yes","Other","Other"
"943",943,943,943,943,"F","HISPANIC OR LATINO","Y","Y","Transfer",NA,"N","N","N",NA,"HS","ENGL","First Time Transfer","Incoming Transfer","Fontana","CA","Yes","San Bernardino","7"
"944",944,944,944,944,"M","HISPANIC OR LATINO","N","N","Freshman",3.81,"N","N","N","Eastlake High School","EN","CEN","First Time Freshman","Second Year","Chula Vista","CA","N","San Diego","10"
"945",945,945,945,945,"F","HISPANIC OR LATINO","Y","Y","Freshman",3.92,"N","N","N","John H Francis Polytechnic Hs","HS","CRWT","First Time Freshman","Third Year","Sun Valley","CA","Yes","Other","Other"
